"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,9744,100,9492916,3531481.8945687097,0,0,0,9744
"Ethernet",100,9744,1.4385042488525128,136556,50800.5171008281,0,0,0,9744
"Internet Protocol Version 6",46.67487684729064,4548,1.9163763800290659,181920,67676.4848925177,0,0,0,4548
"User Datagram Protocol",40.54802955665025,3951,0.33296407552747753,31608,11758.566042670953,0,0,0,3951
"QUIC IETF",38.40311986863711,3742,35.34462961644241,3355236,1248189.1956070336,3742,3348693,1245755.1188664238,3757
"Multicast Domain Name System",0.020525451559934318,2,0.005509371409164476,523,194.56245381918845,2,523,194.56245381918845,2
"Domain Name System",1.80623973727422,176,0.13224598216185626,12554,4670.2429163405195,176,12554,4670.2429163405195,176
"Data",0.3181444991789819,31,0.22366151770435977,21232,7898.566002847054,31,21232,7898.566002847054,31
"Transmission Control Protocol",5.901067323481117,575,0.19677831342866617,18680,6949.190511171014,320,10520,3913.569816783676,575
"Transport Layer Security",2.6067323481116587,254,3.50270664988503,332509,123697.45116054403,254,314996,117182.39905015122,256
"Data",0.010262725779967159,1,0.012830620222490118,1218,453.11103011811,1,1218,453.11103011811,1
"Internet Control Message Protocol v6",0.2257799671592775,22,0.0064890493079260364,616,229.15960143904414,22,616,229.15960143904414,22
"Internet Protocol Version 4",53.23275862068966,5187,1.0928148948120893,103740,38592.56015143902,0,0,0,5187
"User Datagram Protocol",0.08210180623973727,8,0.0006741869410832246,64,23.80878975990069,0,0,0,8
"Multicast Domain Name System",0.020525451559934318,2,0.005509371409164476,523,194.56245381918845,2,523,194.56245381918845,2
"Domain Name System",0.06157635467980296,6,0.004982662861443206,473,175.96183681926604,6,473,175.96183681926604,6
"Transmission Control Protocol",53.15065681444992,5179,1.7637151745575332,167428,62285.2820612602,3876,125672,46751.53479228499,5179
"Transport Layer Security",13.269704433497537,1293,53.59775647440681,5087990,1892795.065788705,1293,4741851,1764027.086433982,1336
"Data",0.10262725779967159,10,0.13041303641578625,12380,4605.51276918079,10,12380,4605.51276918079,10
"Address Resolution Protocol",0.09236453201970443,9,0.002654611080515197,252,93.74710967960897,9,252,93.74710967960897,9
